Quaternion: q0=0.8736090064048767, q1=0.0305886622518301, q2=-0.010109850205481052, q3=0.4855608642101288
Quaternion: q0=0.8738363981246948, q1=0.030587809160351753, q2=-0.01013760082423687, q3=0.4851512014865875
Quaternion: q0=0.8740207552909851, q1=0.030599063262343407, q2=-0.010147870518267155, q3=0.4848179817199707
Quaternion: q0=0.874176025390625, q1=0.030581515282392502, q2=-0.010160311125218868, q3=0.4845389127731323
Quaternion: q0=0.8743516802787781, q1=0.03059767186641693, q2=-0.01014680601656437, q3=0.4842211902141571
Quaternion: q0=0.8745852112770081, q1=0.030582744628190994, q2=-0.010179976932704449, q3=0.4837992787361145
Quaternion: q0=0.8748562932014465, q1=0.030600035563111305, q2=-0.010197659954428673, q3=0.483307421207428
Quaternion: q0=0.8751018047332764, q1=0.030587028712034225, q2=-0.010206908918917179, q3=0.4828634560108185
Quaternion: q0=0.8753275275230408, q1=0.03058375045657158, q2=-0.010235615074634552, q3=0.48245370388031006
Quaternion: q0=0.8755618929862976, q1=0.030615609139204025, q2=-0.010216089896857738, q3=0.4820266664028168
Quaternion: q0=0.8757986426353455, q1=0.030571164563298225, q2=-0.010208428837358952, q3=0.48159950971603394
Quaternion: q0=0.8760064840316772, q1=0.03059614636003971, q2=-0.01022508554160595, q3=0.4812193810939789
Quaternion: q0=0.8761836290359497, q1=0.03060721419751644, q2=-0.01025058701634407, q3=0.48089563846588135
Quaternion: q0=0.8763700723648071, q1=0.030573740601539612, q2=-0.010276177898049355, q3=0.48055705428123474
Quaternion: q0=0.8765153288841248, q1=0.030613631010055542, q2=-0.010254583321511745, q3=0.48029011487960815
Quaternion: q0=0.8766294717788696, q1=0.030579963698983192, q2=-0.010269244201481342, q3=0.4800835847854614
Quaternion: q0=0.8767489194869995, q1=0.03058566153049469, q2=-0.010276148095726967, q3=0.4798647463321686
Quaternion: q0=0.8768969178199768, q1=0.030587276443839073, q2=-0.010294639505445957, q3=0.47959399223327637
Quaternion: q0=0.8770781755447388, q1=0.030573906376957893, q2=-0.01030031032860279, q3=0.47926297783851624
